experience_coding,python_user,r_user,sql_user,most_used,compensation,Category
6.1,TRUE,FALSE,TRUE,Scikit-learn,124267,5-10 Years
12.3,TRUE,TRUE,TRUE,Scikit-learn,236889,10-15 Years
2.2,TRUE,FALSE,FALSE,,74321,< 5 Years
2.7,FALSE,FALSE,TRUE,,62593,< 5 Years
1.2,TRUE,FALSE,FALSE,Scikit-learn,36288,< 5 Years
1,TRUE,FALSE,FALSE,PyTorch,61302,< 5 Years
1.8,FALSE,FALSE,FALSE,,68984,< 5 Years
6.1,TRUE,FALSE,FALSE,TensorFlow,18858,5-10 Years
4.5,TRUE,FALSE,TRUE,Scikit-learn,55418,< 5 Years
1.1,TRUE,FALSE,TRUE,TensorFlow,614,< 5 Years
2.7,TRUE,TRUE,TRUE,,70564,< 5 Years
0.93,TRUE,TRUE,FALSE,Scikit-learn,55525,< 5 Years
0.32,TRUE,FALSE,FALSE,,61005,< 5 Years
9.9,TRUE,FALSE,TRUE,Scikit-learn,2846,5-10 Years
0.78,TRUE,FALSE,FALSE,TensorFlow,21,< 5 Years
13.5,TRUE,FALSE,FALSE,Scikit-learn,14699,10-15 Years
26.5,TRUE,FALSE,TRUE,Scikit-learn,2110,25+ Years
1.5,TRUE,FALSE,TRUE,Scikit-learn,620,< 5 Years
3.4,TRUE,FALSE,TRUE,PyTorch,73527,< 5 Years
0.6,FALSE,FALSE,FALSE,,6992,< 5 Years
0.95,TRUE,FALSE,FALSE,,22311,< 5 Years
4.6,TRUE,TRUE,TRUE,Scikit-learn,1377,< 5 Years
2.8,FALSE,TRUE,FALSE,,69174,< 5 Years
28.2,TRUE,FALSE,TRUE,Scikit-learn,117636,25+ Years
1.4,TRUE,TRUE,TRUE,TensorFlow,65937,< 5 Years
4.8,TRUE,FALSE,FALSE,Scikit-learn,27856,< 5 Years
0.37,TRUE,TRUE,FALSE,Scikit-learn,903,< 5 Years
4.5,TRUE,FALSE,FALSE,TensorFlow,50501,< 5 Years
4.4,TRUE,FALSE,FALSE,Scikit-learn,482,< 5 Years
0.69,TRUE,FALSE,FALSE,,70407,< 5 Years
1.5,TRUE,FALSE,FALSE,,8690,< 5 Years
9.6,TRUE,TRUE,TRUE,,114648,5-10 Years
0.31,FALSE,TRUE,FALSE,,73454,< 5 Years
3.5,TRUE,FALSE,FALSE,,8075,< 5 Years
1,TRUE,FALSE,FALSE,,59151,< 5 Years
0.2,TRUE,TRUE,TRUE,,70112,< 5 Years
0.39,TRUE,FALSE,TRUE,,70183,< 5 Years
5,TRUE,FALSE,FALSE,,64502,5-10 Years
4,TRUE,FALSE,TRUE,,2521,< 5 Years
0.47,TRUE,FALSE,FALSE,Scikit-learn,63616,< 5 Years
8.1,TRUE,FALSE,TRUE,Scikit-learn,59849,5-10 Years
1.8,TRUE,FALSE,FALSE,,31516,< 5 Years
17.1,TRUE,FALSE,TRUE,TensorFlow,18582,15-20 Years
1.4,TRUE,FALSE,FALSE,Keras,4187,< 5 Years
1.3,TRUE,FALSE,FALSE,,64405,< 5 Years
3.1,TRUE,FALSE,FALSE,Keras,114807,< 5 Years
0.26,TRUE,FALSE,TRUE,Scikit-learn,632,< 5 Years
2.1,TRUE,TRUE,FALSE,Scikit-learn,61157,< 5 Years
4.4,TRUE,FALSE,TRUE,Keras,1194,< 5 Years
5.2,TRUE,TRUE,FALSE,Scikit-learn,28955,5-10 Years
0.7,TRUE,TRUE,TRUE,TensorFlow,56553,< 5 Years
0.69,FALSE,FALSE,FALSE,,75177,< 5 Years
1.3,FALSE,TRUE,TRUE,,28009,< 5 Years
1.5,TRUE,FALSE,TRUE,Scikit-learn,67074,< 5 Years
2.2,FALSE,FALSE,TRUE,,50059,< 5 Years
6.3,FALSE,FALSE,FALSE,TensorFlow,7624,5-10 Years
2.9,TRUE,FALSE,FALSE,,74321,< 5 Years
1.2,TRUE,TRUE,FALSE,,671,< 5 Years
1.5,TRUE,FALSE,TRUE,TensorFlow,837,< 5 Years
1.8,TRUE,FALSE,TRUE,Scikit-learn,2011,< 5 Years
0.91,FALSE,FALSE,FALSE,Scikit-learn,62937,< 5 Years
4.5,TRUE,FALSE,FALSE,,685,< 5 Years
1.6,TRUE,FALSE,TRUE,Scikit-learn,41615,< 5 Years
0.27,TRUE,FALSE,FALSE,,52572,< 5 Years
2.6,TRUE,FALSE,FALSE,Scikit-learn,51856,< 5 Years
1.7,TRUE,FALSE,FALSE,Keras,411,< 5 Years
0.74,TRUE,FALSE,FALSE,,152,< 5 Years
2.7,TRUE,FALSE,FALSE,TensorFlow,8181,< 5 Years
0.99,TRUE,TRUE,FALSE,Keras,2708,< 5 Years
24.8,TRUE,FALSE,FALSE,Scikit-learn,55041,20-25 Years
0.32,TRUE,TRUE,TRUE,Scikit-learn,68412,< 5 Years
3.5,FALSE,FALSE,TRUE,TensorFlow,6141,< 5 Years
5.7,FALSE,FALSE,TRUE,,3979,5-10 Years
22,TRUE,FALSE,FALSE,Keras,3760,20-25 Years
9.9,TRUE,FALSE,FALSE,Keras,57465,5-10 Years
3.9,TRUE,FALSE,FALSE,Keras,3864,< 5 Years
20.5,TRUE,FALSE,FALSE,,488487,20-25 Years
0.81,TRUE,FALSE,FALSE,Scikit-learn,24393,< 5 Years
9.8,TRUE,FALSE,FALSE,TensorFlow,68624,5-10 Years
1.5,TRUE,FALSE,TRUE,,70796,< 5 Years
12.3,TRUE,TRUE,TRUE,Scikit-learn,236889,10-15 Years
6.6,TRUE,FALSE,TRUE,PyTorch,57861,5-10 Years
2.1,TRUE,FALSE,FALSE,,21055,< 5 Years
2.5,TRUE,FALSE,FALSE,Keras,59167,< 5 Years
0,FALSE,FALSE,FALSE,,55882,< 5 Years
1.7,FALSE,FALSE,FALSE,,73802,< 5 Years
5.3,TRUE,FALSE,TRUE,Scikit-learn,21206,5-10 Years
1.4,TRUE,FALSE,TRUE,Scikit-learn,79803,< 5 Years
1.5,TRUE,FALSE,TRUE,,73043,< 5 Years
28.2,TRUE,FALSE,TRUE,PyTorch,268191,25+ Years
0.97,TRUE,FALSE,TRUE,Scikit-learn,14298,< 5 Years
1.1,TRUE,FALSE,TRUE,Scikit-learn,68805,< 5 Years
7,TRUE,FALSE,FALSE,TensorFlow,56003,5-10 Years
1,TRUE,FALSE,TRUE,,73664,< 5 Years
0.71,TRUE,FALSE,TRUE,Scikit-learn,434,< 5 Years
9.3,TRUE,TRUE,FALSE,Keras,52109,5-10 Years
1.7,TRUE,FALSE,FALSE,PyTorch,10284,< 5 Years
20.5,TRUE,FALSE,FALSE,Keras,43906,20-25 Years
0.75,TRUE,FALSE,FALSE,,67971,< 5 Years
0.98,TRUE,FALSE,TRUE,,58465,< 5 Years
0.8,FALSE,TRUE,FALSE,,64488,< 5 Years
1.3,TRUE,FALSE,FALSE,,7709,< 5 Years
0.36,TRUE,FALSE,FALSE,Keras,1957,< 5 Years
1.2,TRUE,FALSE,TRUE,Scikit-learn,4131,< 5 Years
8.6,TRUE,FALSE,FALSE,Scikit-learn,26022,5-10 Years
18.4,TRUE,FALSE,TRUE,,29926,15-20 Years
2.7,FALSE,FALSE,TRUE,,62593,< 5 Years
24.3,TRUE,TRUE,TRUE,,109543,20-25 Years
0.94,TRUE,FALSE,TRUE,,107644,< 5 Years
1.4,FALSE,TRUE,TRUE,,1047,< 5 Years
